id,name,year,type,Regie,age,Produktionsfirma,sector,genre,land
summit,Summit Media,,2,,,,9,,
weinstein,Weinstein Co,,2,,,,9,,
nationalg,National Geographic,,2,,,,9,,
universals,Universal Studios,,2,,,,9,,
warner,Warner Bros,,2,,,,9,,
sonyp,Sony Pictures,,2,,,,9,,
trh,Theatre Royal Haymarket,,2,,,,9,,
koch,Koch Media GmbH,,2,,,,9,,
spe,Sony Pictures Entertainment,,2,,,,9,,
foxs,Fox Searchlight,,2,,,,9,,
bbca,BBC America,,2,,,,9,,
ovt,Old Vic Theatre,,2,,,,9,,
almeidat,Almeida Theatre,,2,,,,9,,
kick,Kickstarter,,2,,,,9,,
dissent,Dissent Projects LTD,,2,,,,9,,
ifc,IFC Films,,2,,,,9,,
bridget,Bridge Theatre,,2,,,,9,,
roadside,Roadside Attractions,,2,,,,9,,
mgw,Metro Goldwyn Mayer,,2,,,,9,,
anna,Annapurna Pictures,,2,,,,9,,
centuryfox,20th Century Fox,,2,,,,9,,
search,Searchlight Pictures,,2,,,,9,,
