id,name,year,type,Regie,age,Produktionsfirma,sector
daus,Die Ausgrabung,2021,2,Simon Stone,59,Netflix,1
tforg,The Forgiven,2021,2,John Michael McDonagh,59,Roadside Attractions,1
jbkein,James Bond 007 Keine Zeit zu sterben,2021,2,Cary Joji Fukunaga,59,Metro Goldwyn Mayer,1
btdfilm,Beat the Devil,2021,2,David Hare,59,Annapurna Pictures,1
tkm,The Kings Man,2021,2,Matthew Vaughn,59,20th Century Fox,1
themenu,The Menu,2022,2,Mark Mylod,60,Searchlight Pictures,1
slcdh,Straight Line Crazy,2022,2,Nicholas Hytner,60,Bridge Theatre,4
rf,Ralph Fiennes,,1,,,,
kb,Kenneth Branagh,,1,,,,
dc,David Cronenberg,,1,,,,
neilj,Neil Jordan,,1,,,,
brettrat,Brett Ratner,,1,,,,
hd,Howard Davies,,1,,,,
an,Adrian Noble,,1,,,,
jr,Judith Reilly,,1,,,,
pkthree,Philip Kunhardt III,,1,,,,
mm,Marion Milne,,1,,,,
ap,Arie Posin,,1,,,,
mf,Martha Fiennes,,1,,,,
fm,Fernando Meirelles,,1,,,,
sb,Steve Box,,1,,,,
np,Nick Park,,1,,,,
ji,James Ivory,,1,,,,
nm,Nuno Miranda,,1,,,,
dw,Deborah Warner,,1,,,,
jk,Jonathan Kent,,1,,,,
red,Robert Edwards,,1,,,,
bb,Bob Balaban,,1,,,,
mc,Michael Colgan,,1,,,,
mb,Matt Birch,,1,,,,
mw,Matthew Warchus,,1,,,,
matvaughn,Matthew Vaughn,,1,,,,
mmcd,Martin McDonagh,,1,,,,
sd,Saul Dibb,,1,,,,
kathrynb,Kathryn Bigelow,,1,,,,
sdal,Stephen Daldry,,1,,,,
ag,Anthony Geffen,,1,,,,
sw,Susanna White,,1,,,,
ll,Louis Leterrier,,1,,,,
rickg,Ricky Gervais,,1,,,,
stephm,Stephen Merchant,,1,,,,
tn,Trevor Nunn,,1,,,,
dh,David Hare,,1,,,,
