id,name,type,age,year,sector,company,regisseur,genre,country
twitw,The Woman in the Window,2,62,2020,1,Netflix,Joe Wright,3,US
apatd,A Place Among the Dead,2,62,2020,1,Miss Juliet Productions,Juliet Landau,4,US
mank,Mank,2,62,2020,1,Netflix,David Fincher,6,US
crs,Chrisis,2,63,2021,1,Bideford Productions,Nicholas Jarecki,3,UK
kbt,Killers Bodyguard 2,2,63,2021,1,Nu Image,Patrick Hughes,6,US
sh,Slow Horses,2,64,2022,1,See-Saw Films,,3,UK
us,Jack White Unstaged ,2,54,2012,5,American Express,Gary Oldman,9,US
tpb,The Patience Bossa,2,46,2004,5,,Gary Oldman,9,
nu,Nu Image,,,,9,,,,
mgm,Metro Goldwyn Mayer,,,,9,,,,
wbt,Warner Bros Televisions,,,,9,,,,
sae,Seven Arts Entertainment,,,,9,,,,
thc,20th Century Fox,,,,9,,,,
romulus,Romulus Films,,,,9,,,,
stca,StudioCanal,,,,9,,,,
dw,Dream Works,,,,9,,,,
activision,Activision,,,,9,,,,
singpic,Singular Pictures,,,,9,,,,
wbp,Warner Bros Pictures,,,,9,,,,
fmax,Filmax International,,,,9,,,,
vug,Vivendi Universal Games,,,,9,,,,
krome,Krome Studios,,,,9,,,,
infward,Infinity Ward Treyarch Sledgehammer Games,,,,9,,,,
platinum,Platinum Dunes,,,,9,,,,
dogspony,3 Dogs and a Pony,,,,9,,,,
skydance,Skydance Animation Madrid,,,,9,,,,
alcon,Alcon Entertainment,,,,9,,,,
dwa,Dream Works Animation,,,,9,,,,
annapurna,Annapurna Pictures,,,,9,,,,
freefall,Freefall Films,,,,9,,,,
cr,Columbia Records,,,,9,,,,
gre,Global Road Entertainment,,,,9,,,,
opc,Orion Pictures Corporation,,,,9,,,,
summit,Summit Entertainment,,,,9,,,,
krannel,Krannel Pictures,,,,9,,,,
ttg,TT Games,,,,9,,,,
huab,Huayi Brothers,,,,9,,,,
wtf,Working Title Films,,,,9,,,,
kte,Kaos Theory Entertainment,,,,9,,,,
posterity,Posterity Pictures,,,,9,,,,
tte,Tucker Tooley Entertainment,,,,9,,,,
netflix,Netflix,,,,9,,,,
fne,Film Nation Entertainment,,,,9,,,,
mjp,Miss Juliet Production,,,,9,,,,
bp,Bideford Productions,,,,9,,,,
ssf,See-Saw Films,,,,9,,,,
ae,American Express,,,,9,,,,
ds,David Seltzer,,,,8,,,,
rs,Ridley Scott,,,,8,,,,
jb,James Burrows,,,,8,,,,
bg,Bob Gale,,,,8,,,,
cc,Carlton Cuse,,,,8,,,,
ts,Tony Scott,,,,8,,,,
mb,Matthew Bright,,,,8,,,,
ms,Michael Stevens,,,,8,,,,
ge,Gerald Emerick,,,,8,,,,
cn,Christopher Nolan,,,,8,,,,
cs,Charley Standler,,,,8,,,,
ks,Koldo Serra,,,,8,,,,
dsg,David S Goyer,,,,8,,,,
ja,Jeremy Alter,,,,8,,,,
mm,Max Mannix,,,,8,,,,
rz,Robert Zemeckis,,,,8,,,,
jbl,Jorge Blanco,,,,8,,,,
ah,Albert Hughes,,,,8,,,,
ch,Catherine Hardwicke,,,,8,,,,
jyn,Jennifer Yuh Nelson,,,,8,,,,
ta ,Tomas Alfredson,,,,8,,,,
jh,John Hillcoat,,,,8,,,,
mw,Michael Winnick,,,,8,,,,
fs,Floria Sigismondi,,,,8,,,,
rl,Robert Luketic,,,,8,,,,
ap,Alex Prager,,,,8,,,,
pv,Paul Verhoegen,,,,8,,,,
mr,Matt Reeves,,,,8,,,,
de,Daniel Espinosa,,,,8,,,,
dm,Dito Montiel,,,,8,,,,
av,Ariel Vromen,,,,8,,,,
pc,Peter Chelsom,,,,8,,,,
ph,Patrick Hughes,,,,8,,,,
donm,Donovan Marsh,,,,8,,,,
fda,Frederica D alessandro,,,,8,,,,
mo,Martin Owen,,,,8,,,,
mg,Michael Goi,,,,8,,,,
sso,Steven Soderbergh,,,,8,,,,
za,Zackary Adler,,,,8,,,,
jw,Joe Wright,,,,8,,,,
jl,Juliet Landau,,,,8,,,,
dfin,David Fincher,,,,8,,,,
nj,Nicholas Jarecki,,,,8,,,,
