id,name,type,age,year,sector,genre,land,produktion,regie,networth,agent
pehe,Peter Hewitt,1,99,99,8,99,99,99,99,99,99
jebr,Jeremy Brock,1,99,99,8,99,99,99,99,99,99
libads,Lisa Barros DSa,1,99,99,8,99,99,99,99,99,99
joly,Jonathan Lynn,1,99,99,8,99,99,99,99,99,99
paki,Paul King,1,99,99,8,99,99,99,99,99,99
pena,Petter Naess,1,99,99,8,99,99,99,99,99,99
sema,Seth MacFarlane,1,99,99,8,99,99,99,99,99,99
frbo,Frederik Bond,1,99,99,8,99,99,99,99,99,99
rami,Randall Miller,1,99,99,8,99,99,99,99,99,99
mifr,Michael Fresco,1,99,99,8,99,99,99,99,99,99
midi,Mike Disa,1,99,99,8,99,99,99,99,99,99
anba,Antoine Bardou Jacquet,1,99,99,8,99,99,99,99,99,99
guri,Guy Ritchie,1,99,99,8,99,99,99,99,99,99
mali,Matt Lipsey,1,99,99,8,99,99,99,99,99,99
frta,Frank Tashlin,1,99,99,8,99,99,99,99,99,99
mnish,M Night Shymalan,1,99,99,8,99,99,99,99,99,99
jeke,Jennifer Kent,1,99,99,8,99,99,99,99,99,99
shra,Shane Ramirez,1,99,99,8,99,99,99,99,99,99
roac,Roy Ackerman,1,99,99,8,99,99,99,99,99,99
jujoca,Juan Jose Campanella,1,99,99,8,99,99,99,99,99,99
vire,Vincent Regan,1,99,99,8,99,99,99,99,99,99
jado,Jamie Dooner,1,99,99,8,99,99,99,99,99,99
bepa,Ben Palmer,1,99,99,8,99,99,99,99,99,99
thplwhiwr,The Play What I Wrote,2,39,2001,4,6,UK,Wyndhams Theatre,Kenneth Branagh,99,99
spider,Spider,2,40,2002,1,3,US,Sony Pictures Classics,David Cronenberg,99,99
dedivomoca,Der Dieb von Monte Carlo,2,40,2002,1,2,US,Fox,Neil Jordan,99,99
rodr,Roter Drache,2,40,2002,1,4,US,Universal Pictures,Brett Ratner,99,99
malost,Manhatten Love Story,2,40,2002,1,6,US,Columbia Pictures,Kenneth Branagh,99,99
thtacu,The Talking Cure,2,41,2003,4,2,UK,Royal National Theatre,Howard Davies,99,99
brand,Brand,2,41,2003,4,2,UK,The Royal Shakespeare Company,Adrian Noble,99,99
liki,Libertys Kids,2,40,2002,2,8,US,PBS,Judith Reilly,99,99
likitwo,Libertys Kids,2,41,2003,2,8,US,PBS,Judith Reilly,99,99
frahiofus,Freedom A History of US,2,41,2003,2,7,US,PBS,Philip Kunhardt III,99,99
tedatodd,Ten Days to DDay,2,42,2004,1,2,US,AandEs History Channel,Marion Milne,99,99
thchglinkldo,The Chumscrubber Glueck in kleinen Dosen,2,43,2005,1,2,US,Picturehouse,Arie Posin,99,99
chromophobia,Chromophobia,2,43,2005,1,2,CAN,Momentum Pictures,Martha Fiennes,99,99
deewga,Der ewige Gaertner,2,43,2005,1,2,US,Focus Features,Fernando Meirelles,99,99
waungraudejanaderi,Wallace und Gromit Auf der Jagd nach dem Riesenkaninchen,2,43,2005,1,8,US,DreamWorks,Steve Box,99,99
waungraudejanaderitwo,Wallace Gromit Auf der Jagd nach dem Riesenkaninchen,2,43,2005,1,8,US,DreamWorks,Nick Park,99,99
thwhco,The White Countess,2,43,2005,1,2,US,Sony Pictures Classics,James Ivory,99,99
hapoanthgooffi,Harry Potter and the Goblet of Fire,2,43,2005,6,9,US,Electronic Arts,Nuno Miranda,99,99
juca,Julius Caesar,2,43,2005,4,2,UK,Barbican Centre,Deborah Warner,99,99
fahe,Faith Healer,2,44,2006,4,2,UK,GateTheatre,Jonathan Kent,99,99
laofthbl,Land of the Blind,2,44,2006,1,3,US,Samuel Goldwyn Films,Robert Edwards,99,99
beando,Bernard and Doris,2,44,2006,1,6,US,HBO,Bob Balaban,99,99
filo,First Love,2,45,2007,4,2,AUS,Sydney Festival,Michael Colgan,99,99
hapoanthorofthph,Harry Potter and the Order of the Phoenix,2,45,2007,6,9,US,Electronic Arts,Matt Birch,99,99
degodege,Der Gott des Gemetzels,2,46,2008,4,6,UK,Gielgud Theatre,Matthew Warchus,99,99
kooe,Koenig Oedipus,2,46,2008,4,2,UK,Royal National Theatre,Jonathan Kent,99,99
brseunst,Bruegge sehen und sterben,2,46,2008,1,6,US,Focus Features,Martin McDonagh,99,99
dihe,Die Herzogin,2,46,2008,1,3,US,Paramount Pictures,Saul Dibb,99,99
tokothhulo,Toedliches Kommando The Hurt Locker,2,46,2008,1,1,DE,Summit Media,Kathryn Bigelow,99,99
devo,Der Vorleser,2,46,2008,1,2,US,Weinstein Co,Stephen Daldry,99,99
thwidr,The Wildest Dream,2,48,2010,1,7,US,National Geographic,Anthony Geffen,99,99
eizanaknaufaineineab,Eine zauberhafte Nanny Knall auf Fall in ein neues Abenteuer,2,48,2010,1,6,US,Universal Studios,Susanna White,99,99
kadeti,Kampf der Titanen,2,48,2010,1,2,US,Warner Bros,Louis Leterrier,99,99
cejudaleunaner,Cemetery Junction Das Leben und andere Ereignisse,2,48,2010,1,2,US,Sony Pictures,Ricky Gervais,99,99
cejudaleunanertwo,Cemetery Junction Das Leben und andere Ereignisse two,2,48,2010,1,2,US,Sony Pictures,Stephen Merchant,99,99
dest,Der Sturm,2,49,2011,4,2,UK,Theatre Royal Haymarket,Trevor Nunn,99,99
coriolanus,Coriolanus,2,49,2011,1,1,US,Weinstein Co,Ralph Fiennes,99,99
diveveauhoeb,Die Verschwoerung Verrat auf hoechster Ebene,2,49,2011,1,3,AUT,Koch Media GmbH,David Hare,99,99
zodeti,Zorn der Titanen,2,50,2012,1,1,US,Warner Bros,Jonathan Liebesmann,99,99
grer,Große Erwartungen,2,50,2012,1,2,US,Fox,Mike Newell,99,99
jabosk,James Bond Skyfall,2,50,2012,1,1,US,Sony Pictures Entertainment,Sam Mendes,99,99
thinwo,The Invisible Woman,2,51,2013,1,2,UK,Sony Pictures Classics,Ralph Fiennes,99,99
grbuho,Grand Budapest Hotel,2,52,2014,1,6,US,Fox Searchlight,Wes Anderson,99,99
divetoge,Die Verschwörung Tödliche Geschäfte,2,52,2014,1,3,AUT,Koch Media GmbH,David Hare,99,99
divegnja,Die Verschwörung Gnadenlose Jagd,2,52,2014,1,3,AUT,Koch Media GmbH,David Hare,99,99
rev,Rev,2,52,2014,2,6,US,BBC America,Peter Cattaneo,99,99
mevde,Mesyats v derevne,2,52,2014,1,2,US,Warner Bros,Vera Glagoleva,99,99
maansu,Man and Superman,2,53,2015,4,2,UK,Royal National Theatre,Simon Godwin,99,99
abisp,A Bigger Splash,2,53,2015,1,3,FR,Fox Searchlight,Luca Guadagnino,99,99
jabosp,James Bond Spectre,2,53,2015,1,1,US,Sony Pictures Entertainment,Sam Mendes,99,99
baso,Baumeister Solness,2,54,2016,4,2,UK,Old Vic Theatre,Matthew Warchus,99,99
richardthree,Richard III,2,54,2016,4,2,UK,Almeida Theatre,Rupert Goold,99,99
haca,Hail Caesar,2,54,2016,1,6,US,Universal Pictures,Ethan Coen,99,99
hacatwo,Hail Caesar two,2,54,2016,1,6,US,Universal Pictures,Joel Coen,99,99
thwo,The Works,2,54,2016,1,2,UK,Kickstarter,Elliot Barnes Worrell,99,99
kudetasa,Kubo Der tapfere Samurai,2,54,2016,1,8,US,Focus Features,Travis Knight,99,99
thlebamo,The Lego Batman Movie,2,55,2017,1,8,US,Warner Bros,Chris McKay,99,99
seso,Sea Sorrow,2,55,2017,1,7,UK,Dissent Projects LTD,Vanessa Redgrave,99,99
anuncl,Antonius und Cleopatra,2,56,2018,4,2,UK,Royal National Theatre,Simon Godwin,99,99
nuthwhcr,Nurejew The White Crow,2,56,2018,1,2,US,Sony Pictures Classics,Ralph Fiennes,99,99
hoanwa,Holmes and Watson,2,56,2018,1,6,US,Columbia Pictures,Etan Cohen,99,99
ofse,Official Secrets,2,57,2019,1,3,CAN,IFC Films,Gavin Hood,99,99
thlemo2,The Lego Movie 2,2,57,2019,1,8,US,Warner Bros,Mike Mitchell,99,99
co53,Coup 53,2,57,2019,1,7,UK,Amirani Media,Taghi Amirani,99,99
bethde,Beat the Devil,2,58,2020,4,9,UK,Bridge Theatre,Nicholas Hytner,99,99
difarededrdo,Die fantastische Reise des Dr Dolittle,2,58,2020,1,6,US,Universal Pictures,Stephen Gaghan,99,99
diau,Die Ausgrabung,2,59,2021,1,2,US,Netflix,Simon Stone,99,99
thfo,The Forgiven,2,59,2021,1,2,US,Roadside Attractions,John Michael McDonagh,99,99
jabokezezust,James Bond Keine Zeit zu sterben,2,59,2021,1,1,US,Metro Goldwyn Mayer,Cary Joji Fukunaga,99,99
bethdefilm,Beat the Devil,2,59,2021,1,9,US,Annapurna Pictures,David Hare,99,99
thkima,The Kings Man,2,59,2021,1,6,US,20th Century Fox,Matthew Vaughn,99,99
thme,The Menu,2,60,2022,1,3,US,Searchlight Pictures,Mark Mylod,99,99
stlicr,Straight Line Crazy,2,60,2022,4,2,UK,Bridge Theatre,Nicholas Hytner,99,99
rafi,Ralph Fiennes,1,99,99,7,99,99,99,99,50,Joel Lubin
jolu,Joel Lubin,1,99,99,10,99,99,99,99,99,99
dacr,David Cronenberg,1,99,99,8,99,8,99,99,99,99
nejo,Neil Jordan,1,99,99,8,99,8,99,99,99,99
brra,Brett Ratner,1,99,99,8,99,8,99,99,99,99
hoda,Howard Davies,1,99,99,8,99,8,99,99,99,99
adno,Adrian Noble,1,99,99,8,99,8,99,99,99,99
jure,Judith Reilly,1,99,99,8,99,8,99,99,99,99
phku,Philip Kunhardt III,1,99,99,8,99,8,99,99,99,99
mami,Marion Milne,1,99,99,8,99,8,99,99,99,99
arpo,Arie Posin,1,99,99,8,99,8,99,99,99,99
mafi,Martha Fiennes,1,99,99,8,99,8,99,99,99,99
feme,Fernando Meirelles,1,99,99,8,99,8,99,99,99,99
stbo,Steve Box,1,99,99,8,99,8,99,99,99,99
nipa,Nick Park,1,99,99,8,99,8,99,99,99,99
jaiv,James Ivory,1,99,99,8,99,8,99,99,99,99
numi,Nuno Miranda,1,99,99,8,99,8,99,99,99,99
dewa,Deborah Warner,1,99,99,8,99,8,99,99,99,99
joke,Jonathan Kent,1,99,99,8,99,8,99,99,99,99
roed,Robert Edwards,1,99,99,8,99,8,99,99,99,99
boba,Bob Balaban,1,99,99,8,99,8,99,99,99,99
mico,Michael Colgan,1,99,99,8,99,8,99,99,99,99
mawa,Matthew Warchus,1,99,99,8,99,8,99,99,99,99
mava,Matthew Vaughn,1,99,99,8,99,8,99,99,99,99
mamc,Martin McDonagh,1,99,99,8,99,8,99,99,99,99
sadi,Saul Dibb,1,99,99,8,99,8,99,99,99,99
kabi,Kathryn Bigelow,1,99,99,8,99,8,99,99,99,99
stda,Stephen Daldry,1,99,99,8,99,8,99,99,99,99
ange,Anthony Geffen,1,99,99,8,99,8,99,99,99,99
suwh,Susanna White,1,99,99,8,99,8,99,99,99,99
lole,Louis Leterrier,1,99,99,8,99,8,99,99,99,99
rige,Ricky Gervais,1,99,99,8,99,8,99,99,99,99
