id,name,type,age,year,sector,genre,country,production,director,networth,agent,boxoffice
cejudaleunanertwo,Cemetery Junction Das Leben und andere Ereignisse two,2,48,2010,1,2,US,Sony Pictures,Stephen Merchant,0,0,2300000
dest,Der Sturm,2,49,2011,4,2,UK,Theatre Royal Haymarket,Trevor Nunn,0,0,0
coriolanus,Coriolanus,2,49,2011,1,1,US,Weinstein Co,Ralph Fiennes,0,0,2400000
diveveauhoeb,Die Verschwoerung Verrat auf hoechster Ebene,2,49,2011,1,3,AUT,Koch Media GmbH,David Hare,0,0,0
zodeti,Zorn der Titanen,2,50,2012,1,1,US,Warner Bros,Jonathan Liebesmann,0,0,301000000
grer,Große Erwartungen,2,50,2012,1,2,US,Fox,Mike Newell,0,0,6200000
jabosk,James Bond Skyfall,2,50,2012,1,1,US,Sony Pictures Entertainment,Sam Mendes,0,0,1142000000
thinwo,The Invisible Woman,2,51,2013,1,2,UK,Sony Pictures Classics,Ralph Fiennes,0,0,4000000
grbuho,Grand Budapest Hotel,2,52,2014,1,6,US,Fox Searchlight,Wes Anderson,0,0,173000000
divetoge,Die Verschwörung Tödliche Geschäfte,2,52,2014,1,3,AUT,Koch Media GmbH,David Hare,0,0,0
divegnja,Die Verschwörung Gnadenlose Jagd,2,52,2014,1,3,AUT,Koch Media GmbH,David Hare,0,0,0
rev,Rev,2,52,2014,2,6,US,BBC America,Peter Cattaneo,0,0,0
mevde,Mesyats v derevne,2,52,2014,1,2,US,Warner Bros,Vera Glagoleva,0,0,0
maansu,Man and Superman,2,53,2015,4,2,UK,Royal National Theatre,Simon Godwin,0,0,0
abisp,A Bigger Splash,2,53,2015,1,3,FR,Fox Searchlight,Luca Guadagnino,0,0,8000000
jabosp,James Bond Spectre,2,53,2015,1,1,US,Sony Pictures Entertainment,Sam Mendes,0,0,881000000
baso,Baumeister Solness,2,54,2016,4,2,UK,Old Vic Theatre,Matthew Warchus,0,0,0
richardthree,Richard III,2,54,2016,4,2,UK,Almeida Theatre,Rupert Goold,0,0,0
haca,Hail Caesar,2,54,2016,1,6,US,Universal Pictures,Ethan Coen,0,0,64000000
hacatwo,Hail Caesar two,2,54,2016,1,6,US,Universal Pictures,Joel Coen,0,0,64000000
thwo,The Works,2,54,2016,1,2,UK,Kickstarter,Elliot Barnes Worrell,0,0,0
kudetasa,Kubo Der tapfere Samurai,2,54,2016,1,8,US,Focus Features,Travis Knight,0,0,76000000
thlebamo,The Lego Batman Movie,2,55,2017,1,8,US,Warner Bros,Chris McKay,0,0,312000000
seso,Sea Sorrow,2,55,2017,1,7,UK,Dissent Projects LTD,Vanessa Redgrave,0,0,4.000
anuncl,Antonius und Cleopatra,2,56,2018,4,2,UK,Royal National Theatre,Simon Godwin,0,0,0
nuthwhcr,Nurejew The White Crow,2,56,2018,1,2,US,Sony Pictures Classics,Ralph Fiennes,0,0,8000000
hoanwa,Holmes and Watson,2,56,2018,1,6,US,Columbia Pictures,Etan Cohen,0,0,40000000
ofse,Official Secrets,2,57,2019,1,3,CAN,IFC Films,Gavin Hood,0,0,10000000
thlemo2,The Lego Movie 2,2,57,2019,1,8,US,Warner Bros,Mike Mitchell,0,0,192000000
co53,Coup 53,2,57,2019,1,7,UK,Amirani Media,Taghi Amirani,0,0,0
bethde,Beat the Devil,2,58,2020,4,9,UK,Bridge Theatre,Nicholas Hytner,0,0,0
difarededrdo,Die fantastische Reise des Dr Dolittle,2,58,2020,1,6,US,Universal Pictures,Stephen Gaghan,0,0,251000000
diau,Die Ausgrabung,2,59,2021,1,2,US,Netflix,Simon Stone,0,0,0
thfo,The Forgiven,2,59,2021,1,2,US,Roadside Attractions,John Michael McDonagh,0,0,1400000
jabokezezust,James Bond Keine Zeit zu sterben,2,59,2021,1,1,US,Metro Goldwyn Mayer,Cary Joji Fukunaga,0,0,774000000
bethdefilm,Beat the Devil,2,59,2021,1,9,US,Annapurna Pictures,David Hare,0,0,0
thkima,The Kings Man,2,59,2021,1,6,US,20th Century Fox,Matthew Vaughn,0,0,126000000
thme,The Menu,2,60,2022,1,3,US,Searchlight Pictures,Mark Mylod,0,0,80000000
stlicr,Straight Line Crazy,2,60,2022,4,2,UK,Bridge Theatre,Nicholas Hytner,0,0,0
rafi,Ralph Fiennes,1,0,0,7,0,0,0,0,50,Joel Lubin,0
jolu,Joel Lubin,1,0,0,10,0,0,0,0,0,0,0
dacr,David Cronenberg,1,0,0,8,0,0,0,0,0,0,0
nejo,Neil Jordan,1,0,0,8,0,0,0,0,0,0,0
brra,Brett Ratner,1,0,0,8,0,0,0,0,0,0,0
hoda,Howard Davies,1,0,0,8,0,0,0,0,0,0,0
adno,Adrian Noble,1,0,0,8,0,0,0,0,0,0,0
jure,Judith Reilly,1,0,0,8,0,0,0,0,0,0,0
phku,Philip Kunhardt III,1,0,0,8,0,0,0,0,0,0,0
mami,Marion Milne,1,0,0,8,0,0,0,0,0,0,0
arpo,Arie Posin,1,0,0,8,0,0,0,0,0,0,0
mafi,Martha Fiennes,1,0,0,8,0,0,0,0,0,0,0
feme,Fernando Meirelles,1,0,0,8,0,0,0,0,0,0,0
stbo,Steve Box,1,0,0,8,0,0,0,0,0,0,0
nipa,Nick Park,1,0,0,8,0,0,0,0,0,0,0
jaiv,James Ivory,1,0,0,8,0,0,0,0,0,0,0
numi,Nuno Miranda,1,0,0,8,0,0,0,0,0,0,0
dewa,Deborah Warner,1,0,0,8,0,0,0,0,0,0,0
joke,Jonathan Kent,1,0,0,8,0,0,0,0,0,0,0
roed,Robert Edwards,1,0,0,8,0,0,0,0,0,0,0
boba,Bob Balaban,1,0,0,8,0,0,0,0,0,0,0
mico,Michael Colgan,1,0,0,8,0,0,0,0,0,0,0
mawa,Matthew Warchus,1,0,0,8,0,0,0,0,0,0,0
mava,Matthew Vaughn,1,0,0,8,0,0,0,0,0,0,0
mamc,Martin McDonagh,1,0,0,8,0,0,0,0,0,0,0
sadi,Saul Dibb,1,0,0,8,0,0,0,0,0,0,0
kabi,Kathryn Bigelow,1,0,0,8,0,0,0,0,0,0,0
stda,Stephen Daldry,1,0,0,8,0,0,0,0,0,0,0
ange,Anthony Geffen,1,0,0,8,0,0,0,0,0,0,0
suwh,Susanna White,1,0,0,8,0,0,0,0,0,0,0
lole,Louis Leterrier,1,0,0,8,0,0,0,0,0,0,0
rige,Ricky Gervais,1,0,0,8,0,0,0,0,0,0,0
stme,Stephen Merchant,1,0,0,8,0,0,0,0,0,0,0
trnu,Trevor Nunn,1,0,0,8,0,0,0,0,0,0,0
daha,David Hare,1,0,0,8,0,0,0,0,0,0,0
joli,Jonathan Liebesmann,1,0,0,8,0,0,0,0,0,0,0
mine,Mike Newell,1,0,0,8,0,0,0,0,0,0,0
same,Sam Mendes,1,0,0,8,0,0,0,0,0,0,0
wean,Wes Anderson,1,0,0,8,0,0,0,0,0,0,0
peca,Peter Cattaneo,1,0,0,8,0,0,0,0,0,0,0
vegl,Vera Glagoleva,1,0,0,8,0,0,0,0,0,0,0
sigo,Simon Godwin,1,0,0,8,0,0,0,0,0,0,0
lugu,Luca Guadagnino,1,0,0,8,0,0,0,0,0,0,0
rugo,Rupert Goold,1,0,0,8,0,0,0,0,0,0,0
elbawo,Elliot Barnes Worrell,1,0,0,8,0,0,0,0,0,0,0
trkn,Travis Knight,1,0,0,8,0,0,0,0,0,0,0
chmc,Chris Mckay,1,0,0,8,0,0,0,0,0,0,0
vare,Vanessa Redgrave,1,0,0,8,0,0,0,0,0,0,0
etanco,Etan Cohen,1,0,0,8,0,0,0,0,0,0,0
gaho,Gavin Hood,1,0,0,8,0,0,0,0,0,0,0
mimi,Mike Mitchell,1,0,0,8,0,0,0,0,0,0,0
taam,Taghi Amirani,1,0,0,8,0,0,0,0,0,0,0
nihy,Nicholas Hytner,1,0,0,8,0,0,0,0,0,0,0
stga,Stephen Gaghan,1,0,0,8,0,0,0,0,0,0,0
sist,Simon Stone,1,0,0,8,0,0,0,0,0,0,0
jomimc,John Michael McDonagh,1,0,0,8,0,0,0,0,0,0,0
cajofu,Cary Joji Fukunaga,1,0,0,8,0,0,0,0,0,0,0
mamy,Mark Mylod,1,0,0,8,0,0,0,0,0,0,0
wyth,Wyndhams Theatre,2,0,0,9,0,0,0,0,0,0,0
fox,Fox,2,0,0,9,0,0,0,0,0,0,0
ronath,Royal National Theatre,2,0,0,9,0,0,0,0,0,0,0
throshco,The Royal Shakespeare Company,2,0,0,9,0,0,0,0,0,0,0
pbs,PBS,2,0,0,9,0,0,0,0,0,0,0
aaneshich,AandEs History Channel,2,0,0,9,0,0,0,0,0,0,0
picturehouse,Picturehouse,2,0,0,9,0,0,0,0,0,0,0
dreamworks,Dreamworks SKG,2,0,0,9,0,0,0,0,0,0,0
bace,Barbican Centre,2,0,0,9,0,0,0,0,0,0,0
gath,GateTheatre,2,0,0,9,0,0,0,0,0,0,0
sagofi,Samuel Goldwyn Films,2,0,0,9,0,0,0,0,0,0,0
syfe,Sydney Festival,2,0,0,9,0,0,0,0,0,0,0
gith,Gielgud Theatre,2,0,0,9,0,0,0,0,0,0,0
paramount,Paramount,2,0,0,9,0,0,0,0,0,0,0
sume,Summit Media,2,0,0,9,0,0,0,0,0,0,0
nage,National Geographic,2,0,0,9,0,0,0,0,0,0,0
throha,Theatre Royal Haymarket,2,0,0,9,0,0,0,0,0,0,0
komegm,Koch Media GmbH,2,0,0,9,0,0,0,0,0,0,0
fose,Fox Searchlight,2,0,0,9,0,0,0,0,0,0,0
bbca,BBC America,2,0,0,9,0,0,0,0,0,0,0
olvith,Old Vic Theatre,2,0,0,9,0,0,0,0,0,0,0
alth,Almeida Theatre,2,0,0,9,0,0,0,0,0,0,0
kickstarter,Kickstarter,2,0,0,9,0,0,0,0,0,0,0
diprlt,Dissent Projects LTD,2,0,0,9,0,0,0,0,0,0,0
iffi,IFC Films,2,0,0,9,0,0,0,0,0,0,0
brth,Bridge Theatre,2,0,0,9,0,0,0,0,0,0,0
roat,Roadside Attractions,2,0,0,9,0,0,0,0,0,0,0
sepi,Searchlight Pictures,2,0,0,9,0,0,0,0,0,0,0
heboca,Helena Bonham Carter,1,0,0,7,0,0,0,0,60,Nicola Van Gelder,0
nivage,Nicola Van Gelder,1,0,0,10,0,0,0,0,0,0,0
pldeaf,Planet der Affen,2,35,2001,1,5,US,20th Century Fox,Tim Burton,0,0,362000000
novocaine,Novocaine,2,35,2001,1,6,US,Artisan Entertainment,David Atkins,0,0,3000000
football,Football,2,35,2001,1,9,0,0,Gaby Dellal,0,0,0
thheofme,The Heart of Me,2,36,2002,1,2,US,ThinkFilm,Thaddeus O Sullivan,0,0,283000
tihuvowaus,Till Human Voices Wake us,2,36,2002,1,2,US,Paramount Pictures,Michael Petroni,0,0,158000
lifrba,Live from Baghdad,2,36,2002,1,2,US,HBO Films,Mick Jackson,0,0,0
hevi,Henry VIII,2,37,2003,2,2,US,CBS,Pete Travis,0,0,0
bifi,Big Fish,2,37,2003,1,5,US,Columbia Pictures,Tim Burton,0,0,123000000
lesn,Lemony Snicket,2,38,2004,1,6,US,DreamWorks,Brad Silberling,0,0,211000000
chundisc,Charlie und die Schokoladenfabrik,2,39,2005,1,5,US,Warner Bros,Tim Burton,0,0,475000000
cowiotwo,Conversations with other Women,2,39,2005,1,9,US,Fabrication Films,Hans Canosa,0,0,983000
waangrthcoofthwera1,Wallace and Gromit The Course of the Were Rabbit,2,39,2005,6,9,UK,Frontier Developments,,0,0,0
waangrthcoofthwera2,Wallace and Gromit Auf der Jagd nach dem Riesenkaninchen,2,39,2005,1,8,US,DreamWorks,Steve Box,0,0,195000000
cobrhomieile,Corpse Bride Hochzeit mit einer Leiche,2,39,2005,1,8,US,Warner Bros,Tim Burton,0,0,118000000
mase,Magnificent seven,2,39,2005,1,1,US,Metro Goldwyn Mayer,Kenneth Glenaan,0,0,0
